authors,year_published,title,entity_id,entity,theme,type,spatial_scale,time_slice,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Palace et al. ,2017,Ancient Amazonian populations left lasting impacts on forest structure,Palace et al 2017 Ecosphere. Ancient Amazonian populations left lasting impacts on forest structure,Tropical rainforest (Amazonia),"Ecology, archaeology",study_case,regional,modern,,,Yes,,https://doi.org/10.1002/ECS2.2035,,,Oliver Wilson
Haberle et al. ,2007,Prehistoric human impact on rainforest biodiversity in highland New Guinea.,Haberle 2007 Phil Trans B. Prehistoric human impact on rainforest biodiversity in highland New Guinea.,Tropical rainforest (New Guinea),"Paleoecology, archaeology",study_case,regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1098/rstb.2006.1981,,,Oliver Wilson
Lima et al. ,2018,Late Pleistocene glacial forest elements of Brazilian Amazonia,Lima et al 2018 Palaeo3. Late Pleistocene glacial forest elements of Brazilian Amazonia,Tropical rainforest (Amazonia),Paleoecology,study_case; review,regional,pre-human,,,Yes,No,https://doi.org/10.1016/j.palaeo.2017.11.050,,,Oliver Wilson
Colinvaux et al. ,2000,Amazonian and neotropical plant communities on glacial time-scales: The failure of the aridity and refuge hypotheses,Colinvaux et al 2000 QSR. Amazonian and neotropical plant communities on glacial time-scales: The failure of the aridity and refuge hypotheses,Tropical rainforest (Amazonia),Paleoecology,theory; review,"regional, global",pre-human,,,Yes,,https://doi.org/10.1016/S0277-3791(99)00059-1,,,Oliver Wilson
Nogue et al. ,2018,"Exploring the Ecological History of a Tropical Agroforestry Landscape Using Fossil Pollen and Charcoal Analysis from Four Sites in Western Ghats, India","Nogue et al 2018 Ecosystems. Exploring the Ecological History of a Tropical Agroforestry Landscape Using Fossil Pollen and Charcoal Analysis from Four Sites in Western Ghats, India",Tropical rainforest (India),Paleoecology,study_case,regional,"pre-colonial, colonial, modern",12,75.75,Yes,Yes,https://doi.org/10.1007/s10021-017-0132-1,,,Oliver Wilson
Souza and Madella,,ExPaND database,ExPaND database - neotropical archaeological radiocarbon dates,Neotropics,Archaeology,review,continental,"pre-colonial, colonial, modern",,,Not explicitly,Yes,,,https://amazonexpand.wixsite.com/expand,Oliver Wilson
Kaufman et al. ,2020,A global database of Holocene paleotemperature records,Kaufman et al 2020 Sci Dat. A global database of Holocene paleotemperature records,Global,Paleoecology,review,global,"pre-colonial, colonial, modern",,,Yes,Yes,https://doi.org/10.1038/s41597-020-0445-3,https://doi.org/10.25921/4RY2-G808,https://lipdverse.org/globalHolocene/current_version/index.html,Oliver Wilson
Lima et al. ,paper: 2015 database: 2020,How much do we know about the endangered Atlantic Forest? Reviewing nearly 70 years of information on tree community surveys,TreeCo - Neotropical Tree Communities database,Neotropics,Ecology,review,regional,modern,,,Yes,Yes,http://dx.doi.org/10.1007/s10531-015-0953-1,,http://labtrop.ib.usp.br/doku.php?id=projetos:treeco:start,Oliver Wilson
Oliveira-Filho,2017,"NeoTropTree, Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação.",NeoTropTree database - tree flora of the neotropical region,Neotropics,Ecology,review,continental,modern,,,No,Yes in aggregate,,,http://www.neotroptree.info/outputs,Oliver Wilson
Sanchez Goni et al. ,2017,The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period,Sanchez Goni et al 2017 ESSD. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period,Global,"Paleoecology, archaeology",review,global,"pre-human, pre-colonial",,,Yes,Yes,https://doi.org/10.5194/essd-9-679-2017,https://doi.org/10.1594/PANGAEA.870867,,Oliver Wilson
Stephens et al.,2019,Archaeological assessment reveals Earth’s early transformation through land use,Stephens et al 2019 Archaeological assessment reveals Earth’s early transformation through land use,Global,Archaeology,review,global,pre-human,,,Yes,partially,https://science.sciencemag.org/content/365/6456/897.abstract?casa_token=99fY3sWTkeoAAAAA:u-ODxz9DSvYw705FMeNcUeRMEcW9V41lS2KiOM3Ygy8eNtl3zyJF4-v1yYp9vpMOIX-GxP1D2Sb8Og,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6ZXAGT,,Xavier Benito
Cook-Patton et al.,2020,Mapping carbon accumulation potential from global natural forest regrowth,Cook Patton et al. 2020 Mapping carbon accumulation potential from global natural forest regrowth,Global forests,Ecology,theory; review,global,modern,,,Yes,Yes,https://doi.org/10.1038/s41586-020-2686-x,,https://www.nature.com/articles/s41586-020-2686-x#data-availability,Johanna Menges
Zhou et al. ,2014,Widespread decline of Congo rainforest greenness in the past decade,Zhou et al. 2014 Widespread decline of Congo rainforest greenness in the past decade,Tropical rainforest (Congo),Ecology,study_case,regional,modern,,,Yes,,,,,Johanna Menges
Laurance et al. ,2013,Agricultural expansion and its impacts on tropical nature,Laurance et al. 2013 Agricultural expansion and its impacts on tropical nature,Tropical rainforest,Ecology,review,global,modern,,,Yes,No,https://doi.org/10.1016/j.tree.2013.12.001,,https://www.sciencedirect.com/science/article/pii/S0169534713002929,Johanna Menges
Bleasdale et al. ,2020,Isotopic and microbotanical insights into Iron Age agricultural reliance in the Central African rainforest,Bleasdale et al. 2020 Isotopic and microbotanical insights into Iron Age agricultural reliance in the Central African rainforest,Tropical rainforest (Central Africa),Archeology,study_case,local,pre-colonial,0,18,Yes,Yes,https://doi.org/10.1038/s42003-020-01324-2,,https://www.nature.com/articles/s42003-020-01324-2#Abs1,Johanna Menges
Bayon et al. ,2012,Intensifying Weathering and Land Use in Iron Age Central Africa,Bayon et al. 2012 Intensifying Weathering and Land Use in Iron Age Central Africa,Tropical rainforest (Congo),Archeology,study_case,regional,pre-colonial,,,Yes,No,DOI: 10.1126/science.1215400,,https://science.sciencemag.org/content/335/6073/1219,Johanna Menges
Dargie et al. ,2017,"Age, extent and carbon storage of the central Congo Basin peatland complex ","Dargie et al. 2017 Age, extent and carbon storage of the central Congo Basin peatland complex ",Tropical rainforest (Congo),Ecology,study_case,local,modern,0,18,Yes,Yes,https://doi.org/10.1038/nature21048,,https://www.nature.com/articles/nature21048,Johanna Menges
Gillson & Marchant,2014,From myopia to clarity: sharpening the focus of ecosystem management through the lens of palaeoecology,Gillson & Marchant 2014 TREE. From myopia to clarity: sharpening the focus of ecosystem management through the lens of palaeoecology,Global,"Paleoecology, ecology",review,global,"pre-human, pre-colonial, colonial, modern",,,Yes,,https://doi.org/10.1016/j.tree.2014.03.010,,,Oliver Wilson
Haberle,2005,"A 23,000-yr pollen record from Lake Euramoo, Wet Tropics of NE Queensland, Australia","Haberle 2005 Quat Res. A 23,000-yr pollen record from Lake Euramoo, Wet Tropics of NE Queensland, Australia",Tropical rainforest (Australia),Paleoecology,study_case,local,"pre-human, pre-colonial, colonial, modern",-17.17,145.63,Yes,No,https://doi.org/10.1016/j.yqres.2005.08.013,,,Oliver Wilson
Haberle et al,2006,The impact of European occupation on terrestrial and aquatic ecosystem dynamics in an Australian tropical rain forest,Haberle et al 2006 J Ecol. The impact of European occupation on terrestrial and aquatic ecosystem dynamics in an Australian tropical rain forest,Tropical rainforest (Australia),Paleoecology,study_case,local,"pre-colonial, colonial, modern",-17.17,145.63,Yes,No,https://doi.org/10.1111/j.1365-2745.2006.01140.x,,,Oliver Wilson
Haberle & David,2004,Climates of change: human dimensions of Holocene environmental change in low latitudes of the PEPII transect,Haberle & David 2004 Qua Int. Climates of change: human dimensions of Holocene environmental change in low latitudes of the PEPII transect,Tropical rainforest (Australia/New Guinea),"Paleoecology, archaeology",review,regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1016/S1040-6182(03)00136-8,,,Oliver Wilson
Haberle et al,2012,The palaeoenvironments of Kuk Swamp from the beginnings of agriculture in the highlands of Papua New Guinea,Haberle et al 2012 Qua Int. The palaeoenvironments of Kuk Swamp from the beginnings of agriculture in the highlands of Papua New Guinea,Tropical rainforest (New Guinea),"Paleoecology, archaeology",study_case,local,"pre-colonial, colonial, modern",-5.78,144.33,Yes,No,https://doi.org/10.1016/j.quaint.2011.07.048,,,Oliver Wilson
Haberle et al,2001,Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record,Haberle et al 2001 Palaeo3. Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record,Tropical rainforest (Indonesia/New Guinea),Paleoecology,review,regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1016/S0031-0182(01)00248-6,,,Oliver Wilson
Hapsari et al,2020,"Intertwined effects of climate and land use change on environmental dynamics and carbon accumulation in a mangrove-fringed coastal lagoon in Java, Indonesia","Hapsari et al 2020 GCB. Intertwined effects of climate and land use change on environmental dynamics and carbon accumulation in a mangrove-fringed coastal lagoon in Java, Indonesia",Tropical mangrove (Indonesia),"Paleoecology, ecology",study_case,local,"pre-colonial, colonial, modern",-7.67,108.82,Yes,No,https://doi.org/10.1111/gcb.14926,,,Oliver Wilson
Hapsari et al,2017,"Resilience of a peatland in Central Sumatra, Indonesia to past anthropogenic disturbance: Improving conservation and restoration designs using palaeoecology","Hapsari et al 2017 J Ecol. Resilience of a peatland in Central Sumatra, Indonesia to past anthropogenic disturbance: Improving conservation and restoration designs using palaeoecology",Tropical peatland (Indonesia),"Paleoecology, archaeology",study_case,local,"pre-colonial, colonial, modern",-1.24,103.62,Yes,No,https://doi.org/10.1111/1365-2745.13000,,,Oliver Wilson
Hapsari et al,2017,"Environmental dynamics and carbon accumulation rate of a tropical peatland in Central Sumatra, Indonesia","Hapsari et al 2017 QSR. Environmental dynamics and carbon accumulation rate of a tropical peatland in Central Sumatra, Indonesia",Tropical peatland (Indonesia),"Paleoecology, ecology",study_case,local,"pre-human, pre-colonial, colonial, modern",-1.24,103.62,Yes,Yes,https://doi.org/10.1016/j.quascirev.2017.05.026,https://doi.pangaea.de/10.1594/PANGAEA.888596,,Oliver Wilson
Biagioni et al ,2016,"Unravelling the past 1,000 years of history of human–climate– landscape interactions at the Lindu plain, Sulawesi, Indonesia","Biagioni et al 2016 Veg Hist Arch. Unravelling the past 1,000 years of history of human–climate–landscape interactions at the Lindu plain, Sulawesi, Indonesia",Tropical rainforest (Indonesia),"Paleoecology, archaeology",study_case,local,"pre-colonial, colonial, modern",-1.34,120.08,Yes,No,https://doi.org/10.1007/s00334-015-0523-1,,,Oliver Wilson
Biagioni et al ,2015,"8000 years of vegetation dynamics and environmental changes of a unique inland peat ecosystem of the Jambi Province in Central Sumatra, Indonesia","Biagioni et al 2015 Palaeo3. 8000 years of vegetation dynamics and environmental changes of a unique inland peat ecosystem of the Jambi Province in Central Sumatra, Indonesia",Tropical rainforest (Indonesia),Paleoecology,study_case,local,"pre-human, pre-colonial, colonial, modern",-2.05,102.7,Yes,No,https://doi.org/10.1016/j.palaeo.2015.09.048,,,Oliver Wilson
Dommain et al,2014,Carbon storage and release in Indonesian peatlands since the last deglaciation,Dommain et al 2014 QSR. Carbon storage and release in Indonesian peatlands since the last deglaciation,Tropical peatland (Indonesia),"Paleoecology, ecology",review,regional,"pre-human, pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1016/j.quascirev.2014.05.002,,,Oliver Wilson
Hope et al,2005,"The Stratigraphy and Fire History of the Kutai Peatlands, Kalimantan, Indonesia","Hope et al 2005 Quat Res. The Stratigraphy and Fire History of the Kutai Peatlands, Kalimantan, Indonesia",Tropical peatland (Indonesia),"Paleoecology, ecology",study_case,local,"pre-human, pre-colonial, colonial, modern",-0.2,116.25,Yes,No,https://doi.org/10.1016/j.yqres.2005.08.009,,,Oliver Wilson
Vijay et al,2016,The Impacts of Oil Palm on Recent Deforestation and Biodiversity Loss,Vijay et al 2016 The Impacts of Oil Palm on Recent Deforestation and Biodiversity Loss,Global,Ecology,study_case,global,modern,,,Yes,No,10.1371/journal.pone.0159668,,,Xavier Benito
Souza et al,2019,Climate change and cultural resilience in late pre-Columbian Amazonia,Souza et al 2019 Climate change and cultural resilience in late pre-Columbian Amazonia,Neotropics,"Paleoecology, archaeology",review,regional,"pre-human, pre-colonial",,,Yes,Yes,,,,
Githumbi et al,2020,Using the Past to Inform a Sustainable Future: Palaeoecological Insights from East Africa,Githumbi et al 2020 Africa & SDGs. Using the Past to Inform a Sustainable Future: Palaeoecological Insights from East Africa,Africa,"Paleoecology, archaeology, ecology, social",review,continental,"pre-colonial, colonial, modern",,,Yes,No,http://dx.doi.org/10.1007/978-3-030-14857-7_18,,https://www.researchgate.net/profile/Esther-Githumbi/publication/333784453_Using_the_Past_to_Inform_a_Sustainable_Future_Palaeoecological_Insights_from_East_Africa/links/5d5e87b592851c376371b8a7/Using-the-Past-to-Inform-a-Sustainable-Future-Palaeoecological-Insights-from-East-Africa.pdf?_sg%5B0%5D=pliPeHOJB0ZDA8EvWulyAaFkDZpJCaz6a3QBqmiqnQmhESfUEtftQucZJ1yFccSVHDyDhLD0QOXM5vlSxpeHtg.CfjaVoWQm5o7SyMZZcKqjkMmhpEorcYIDWi3vczmvM7SF5D03a84T823qz2IYK3MKhBwCqzbPYVFAlzPgly60Q&_sg%5B1%5D=VeKtKXC8AF26DV0ahiG9dIipHFCXK0ng-12aNw6MSGEQlPMy-ReN1cF8Gh6jaXuxoa1zo6e9juJmLlkwRWlBwG2z6ywcYWtssVGeAeCY9Lnp.CfjaVoWQm5o7SyMZZcKqjkMmhpEorcYIDWi3vczmvM7SF5D03a84T823qz2IYK3MKhBwCqzbPYVFAlzPgly60Q&_iepl=,Oliver Wilson
Marchant et al,2018,Drivers and trajectories of land cover change in East Africa: Human and environmental interactions from 6000 years ago to present,Marchant et al 2018 ESR. Drivers and trajectories of land cover change in East Africa: Human and environmental interactions from 6000 years ago to present,East Africa,"Paleoecology, archaeology",review,regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1016/j.earscirev.2017.12.010,,,Oliver Wilson
Ellis et al ,2021,"People have shaped most of terrestrial nature for at least 12,000 years","Ellis et al People have shaped most of terrestrial nature for at least 12,000 years",Global ecosystems,"Paleoecology, archaeology, ecology",review,global,"pre-human, pre-colonial, colonia",,,Yes,Yes,10.1073/pnas.2023483118,https://doi.org/10.7910/DVN/E3H3AK,,Xavier Benito
Hamilton et al,2020,"Forest, fire & monsoon: investigating the long-term threshold dynamics of south-east Asia’s seasonally dry tropical forests","Hamilton et al 2020 QSR Forest, fire & monsoon: investigating the long-term threshold dynamics of south-east Asia’s seasonally dry tropical forests",seasonally dry tropical forest,Palaeoecology,study_case,local,"pre-colonial, colonial, modern",13.37,107.15,Yes,Yes,https://doi.org/10.1016/j.quascirev.2020.106334,https://doi.org/10.1016/j.quascirev.2020.106334,,Rebecca Hamilton
Hamilton et al,2019,A 4700-year record of hydroclimate variability over the Asian monsoon intersection zone inferred from multi-proxy analysis of lake sediments,Hamilton et al 2019 GPC A 4700-year record of hydroclimate variability over the Asian monsoon intersection zone inferred from multi-proxy analysis of lake sediments,limnic,limnology,study_case,local,"pre-colonial, colonial, modern",13.37,107.15,Yes,Yes,https://doi.org/10.1016/j.gloplacha.2018.12.009,https://doi.org/10.1016/j.gloplacha.2018.12.009,,Rebecca Hamilton
Hamilton et al,2019,"A 16,000-year record of climate, vegetation and fire from Wallacean lowland tropical forests","Hamilton et al QSR A 16,000-year record of climate, vegetation and fire from Wallacean lowland tropical forests",evergreen tropical forest,Palaeoecology; limnology,study_case,local,"pre-colonial, colonial, modern",-2.66,121.7,Yes,Yes,https://doi.org/10.1016/j.quascirev.2019.105929,https://doi.org/10.1016/j.quascirev.2019.105929,,Rebecca Hamilton
Cole et al.,2019,Fire in the Swamp Forest: Palaeoecological Insights Into Natural and Human-Induced Burning in Intact Tropical Peatlands,Cole et al 2019 Front. For. Glob. Change Fire in the Swamp Forest: Palaeoecological Insights into Natural and Human-induced Burning in Intact Tropical Peatlands,Tropical peatland (Malaysia),Palaeoecology,study_case,local,"pre-human, pre-colonial, modern",4.36,114.05,Yes,Yes,https://doi.org/10.3389/ffgc.2019.00048,https://doi.org/10.5061/dryad.b5r07,,Lydia Cole
McMichael et al. ,2017,Ancient human disturbances may be skewing our understanding of Amazonian forests,McMichael et al 2017 PNAS. Ancient human disturbances may be skewing our understanding of Amazonian forests,Tropical rainforest (Amazonia),"Archaeology, ecology","study_case, review",regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1073/pnas.1614577114,,,Oliver Wilson
Gillson et al,2003,Representing environments in flux: case studies from East Africa,Gillson et al 2003 Area. Representing environments in flux: case studies from East Africa,Tropical forest (East Africa),"Paleoecology, archaeology","study_case, review",regional,"pre-colonial, colonial, modern",-4,38,Yes,No,https://doi.org/10.1111/j.0004-0894.2003.00188.x,,,Oliver Wilson
Heckmann et al,2014,"Human–environment interactions in an agricultural landscape: A 1400-yr sediment and pollen record from North Pare, NE Tanzania","Heckmann et al 2014 Palaeo3. Human–environment interactions in an agricultural landscape: A 1400-yr sediment and pollen record from North Pare, NE Tanzania",Tropical forest (East Africa),"Paleoecology, archaeology",study_case,local,"pre-colonial, colonial, modern",-3.71,37.67,Yes,No,http://dx.doi.org/10.1016/j.palaeo.2014.04.005,,,Oliver Wilson
Finch et al,2016,"Ecosystem change in the South Pare Mountain bloc, Eastern Arc Mountains of Tanzania","Finch et al 2016 Holocene. Ecosystem change in the South Pare Mountain bloc, Eastern Arc Mountains of Tanzania",Tropical forest (East Africa),"Paleoecology, archaeology",study_case,local,"pre-colonial, colonial, modern",-4.29,37.92,Yes,Yes,https://doi.org/10.1177/0959683616675937,,https://dx.doi.org/10.21233/JK1S-VG18,Oliver Wilson
Stump,2010,“Ancient and Backward or Long-Lived and Sustainable?” The Role of the Past in Debates Concerning Rural Livelihoods and Resource Conservation in Eastern Africa,Stump 2010 World Dev. “Ancient and Backward or Long-Lived and Sustainable?” The Role of the Past in Debates Concerning Rural Livelihoods and Resource Conservation in Eastern Africa,Tropical forest (East Africa),"Archaeology, social",review,regional,"pre-colonial, colonial, modern",,,Yes,No,https://doi.org/10.1016/j.worlddev.2010.02.007,,,Oliver Wilson
