authors,year_published,title,entity_id,subrealm,entity,ecosystem,proxy,indicator,theme,type,spatial_scale,region,time_slice,period,latitude,longitude,is_published,raw_data_available,DOI_paper,DOI_data,URL,Who
Roy et a. ,2015,Development of Decadal (1985–1995–2005) Land Use and Land Cover Database for India ,Indian LULC,,Indian terrestrial ecosystems ,,remote sensing,land use,ecology,review,regional,S Asia,modern,1985-2005,22.45,79.31,Yes,Yes,10.3390/rs70302401,,,
Harris et al. ,2021,Global maps of twenty-first century forest carbon fluxes,Forest carbon flux,,Global forests carbon flux,,remote sensing,land use,ecology,review,global,Global,modern,2001-2019,,,Yes,Yes,10.1038/s41558-020-00976-6,,,
Hansen et al.,2013,High-Resolution Global Maps of 21st-Century Forest Cover Change,Forest cover change,,Global forests cover ,,remote sensing,land use,ecology,review,global ,Global,modern,2000-present,,,Yes,Yes,10.1126/science.1244693,,,
Jian et al.,2021,A restructured and updated global soil respiration database (SRDB-V5) ,Soil respiration,,terrestrial ecosystems,,multiproxy,NA,ecology,review,global,Global,modern,2010-2017,,,Yes,Yes,10.5194/essd-13-255-2021,,,
Kulkarni et al.,2021,Synergistic impacts of anthropogenic fires and aridity on plant diversity in the Western Ghats: Implications for management of ancient social-ecological systems,"Western Ghats, India",,"Tropical rainforest, swamp",tropical rainforest,pollen,fire; land use,paleoecology; archaeology,study_case,regional,S Asia,modern; pre-colonial; pre-historic (~0-8 kyr BP),4000 BP-0 BP,12.15,75.7,Yes,Yes,https://doi.org/10.1016/j.jenvman.2021.111957,In the upload stage (Will make it happen soon),https://www.sciencedirect.com/science/article/pii/S0301479721000190,
Aleman et al. ,2019,Palaeo-trajectories of forest savannization in the southern Congo,Aleman et al. 2019. Palaeo-trajectories of forest savannization in the southern Congo,,forest-savanna transition; lake,tropical savanna,multiproxy,fire; climate; land use,paleoecology,dataset,local,Africa,pre-colonial,1540 BP-0 BP,-3.8,14.8,Yes,Yes,https://doi.org/10.1098/rsbl.2019.0284,https://doi.org/10.5061/dryad.jq1f218,,
Pupim et al. ,2019,Chronology of Terra Firme formation in Amazonian lowlands reveals a dynamic Quaternary landscape,Pupim et al 2019 Chronology of Terra Firme formation in Amazonian lowlands reveals a dynamic Quaternary landscape,,Amazonian landscape; fluvial terraces,,pollen,biodiversity,Geomorphology,dataset,regional,Neotropics,late Quaternary,111800 BP-1400 BP,-3,-65,Yes,Yes,https://doi.org/10.1016/j.quascirev.2019.03.008,https://doi.org/10.1016/j.quascirev.2019.03.008,,
Asner et al. ,2021,Global Airborne Observatory: Forest Canopy Height and Carbon Stocks of Panama,Asner et al 2021. Global Airborne Observatory: Forest Canopy Height and Carbon Stocks of Panama,,terrestrial ecosystems,,remote sensing,land use,ecology,review,regional,Neotropics,modern,2012 CE,9.14,-79.87,Yes,Yes,https://zenodo.org/record/4624240#.YFhpBq9KiUk,,,
Zimmerman et al. ,2001,"Conservation and development alliances with the Kayapó of south-eastern Amazonia, a tropical forest indigenous people","Zimmerman et al., 2001",,Indigenous Territories,,census,biodiversity; land use,social,study_case,regional,Neotropics,modern,1991 CE-2000 CE,-7.12,-52.41,Yes,,10.1017/S0376892901000029 ,,,
Schwartzman et al.,2013,The natural and social history of the indigenous lands and protected areas corridor of the Xingu River basin,"Schwartzman et al., 2013",,Indigenous Territories,,review,land use,social,,,Neotropics,modern,2007 CE-2012 CE,-7.75,-51.91,,,https://doi.org/10.1098/rstb.2012.0164,,,
Akesson et al.,2020,"2,100 years of human adaptation to climate change in the High Andes","Akesson et al 2020 Nat Eco Evo. 2,100 years of human adaptation to climate change in the High Andes",,Montane forest,montane forest,pollen,land use; climate,paleoecology; archaeology,study_case,local,Neotropics,pre-colonial; colonial; modern,2150 BP-2000 CE,-6.85,-77.7,Yes,No,http://dx.doi.org/10.1038/s41559-019-1056-2,,,Oliver Wilson
Loughlin et al. ,2018,Ecological consequences of post-Columbian indigenous depopulation in the Andean–Amazonian corridor,Loughlin et al 2018 Nat Eco Evo. Ecological consequences of post-Columbian indigenous depopulation in the Andean–Amazonian corridor,,Montane forest,montane forest,pollen,land use,paleoecology,study_case,local,Neotropics,pre-human; pre-colonial; colonial; modern,650 BP-2000 CE,-0.42,-78.02,Yes,No,https://doi.org/10.1038/s41559-018-0602-7,,,Oliver Wilson
Levis et al. ,2018,How People Domesticated Amazonian Forests,Levis et al 2018 Front Eco Evo. How People Domesticated Amazonian Forests,,Tropical rainforest (Amazonia),tropical rainforest,review; interviews,land use; biodiversity,paleoecology; archaeology; social,theory; study_case,regional,Neotropics,pre-colonial; modern,12000 BP-2000 BP,,,Yes,No,https://doi.org/10.3389/fevo.2017.00171,,,Oliver Wilson
Maezumi et al. ,2018,"The legacy of 4,500 years of polyculture agroforestry in the eastern Amazon","Maezumi et al 2018 Nat Plants. The legacy of 4,500 years of polyculture agroforestry in the eastern Amazon",,Tropical rainforest (Amazonia),tropical rainforest,pollen; macrofossils,land use,paleoecology; archaeology; ecology,study_case,local,Neotropics,pre-colonial; colonial; modern,4500 BP-0 BP,-2.82,-55.05,Yes,No,https://doi.org/10.1038/s41477-018-0205-y,,,Oliver Wilson
Kelly et al. ,2018,Continuous human presence without extensive reductions in forest cover over the past 2500 years in an aseasonal Amazonian rainforest,Kelly et al 2018 JQS. Continuous human presence without extensive reductions in forest cover over the past 2500 years in an aseasonal Amazonian rainforest,,Tropical rainforest (Amazonia),tropical rainforest,pollen; charcoal; sedimentological analysis,land use,paleoecology; archaeology,study_case,local,Neotropics,pre-colonial; colonial; modern,5000 BP-560 BP,-3.83,-73.32,Yes,No,https://doi.org/10.1002/jqs.3019,,,Oliver Wilson
Mayle and Iriarte ,2014,Integrated palaeoecology and archaeology e a powerful approach for understanding pre-Columbian Amazonia,Mayle & Iriarte 2014 JAS. Integrated palaeoecology and archaeology e a powerful approach for understanding pre-Columbian Amazonia,,Tropical rainforest (Amazonia),tropical rainforest,pollen; archaeological excavation,land use,paleoecology; archaeology,theory; methods,regional; global,Neotropics,pre-colonial; colonial; modern,2150 BP-2000 CE,,,Yes,,https://doi.org/10.1016/j.jas.2012.08.038,,,Oliver Wilson
Aleman et al. ,2020,Floristic evidence for alternative biome states in tropical Africa,Aleman et al 2020 PNAS. Floristic evidence for alternative biome states in tropical Africa,,"Tropical rainforest (Central Africa), Savanna",tropical rainforest; savanna,pollen; macrofossils; census,climate,paleoecology; ecology,study_case,continental,Africa,modern,?,,,Yes,No,https://doi.org/10.1073/pnas.2011515117,,,Oliver Wilson
Aleman et al. ,2018,Forest extent and deforestation in tropical Africa since 1900,Aleman et al 2018 Nat Eco Evo. Forest extent and deforestation in tropical Africa since 1900,,"Tropical rainforest (Central Africa), Savanna",tropical rainforest; savanna,multiproxy,land use; climate,paleoecology; ecology,study_case,continental,Africa,colonial; modern,1900 CE,,,Yes,No,https://doi.org/10.1038/s41559-017-0406-1,,,Oliver Wilson
Whitney et al. ,2019,Constraining pollen-based estimates of forest cover in the Amazon: A simulation approach,Whitney et al 2019 The Holocene. Constraining pollen-based estimates of forest cover in the Amazon: A simulation approach,,"Tropical rainforest (Amazonia), Savanna",tropical rainforest; savanna,pollen,NA,paleoecology,theory; methods; study_case,regional,Neotropics,modern,NA,-14,-64,Yes,No,https://doi.org/10.1177/0959683618810394,,,Oliver Wilson
McMichael et al. ,2014,Bamboo-dominated forests and pre-Columbian earthwork formations in south-western Amazonia,McMichael et al 2014 J Biogeogr. Bamboo-dominated forests and pre-Columbian earthwork formations in south-western Amazonia,,"Tropical rainforest (Amazonia), Savanna",tropical rainforest; savanna,model,land use,archaeology; ecology,study_case,regional,Neotropics,modern,pre 1492 CE,,,Yes,No,https://doi.org/10.1111/jbi.12325,,,Oliver Wilson
Santos et al. ,2018,Detecting human presence and influence on neotropical forests with remote sensing,Santos et al 2018 Remote Sensing. Detecting human presence and influence on neotropical forests with remote sensing,,Tropical rainforest,tropical rainforest,remote sensing,land use,archaeology; ecology,methods,"regional, global",Neotropics,modern,pre 1492 CE-present,,,Yes,,https://doi.org/10.3390/rs10101593,,,Oliver Wilson
Palace et al. ,2017,Ancient Amazonian populations left lasting impacts on forest structure,Palace et al 2017 Ecosphere. Ancient Amazonian populations left lasting impacts on forest structure,,Tropical rainforest (Amazonia),tropical rainforest,"remote sensing, model",land use,archaeology; ecology,study_case,regional,Neotropics,modern,pre 1492 CE,,,Yes,,https://doi.org/10.1002/ECS2.2035,,,Oliver Wilson
Haberle et al. ,2007,Prehistoric human impact on rainforest biodiversity in highland New Guinea.,Haberle 2007 Phil Trans B. Prehistoric human impact on rainforest biodiversity in highland New Guinea.,,Tropical rainforest (New Guinea),tropical rainforest,pollen,biodiversity,paleoecology; archaeology,study_case,regional,SE Asia,"pre-colonial, colonial, modern",30000 BP-present,,,Yes,No,https://doi.org/10.1098/rstb.2006.1981,,,Oliver Wilson
Lima et al. ,2018,Late Pleistocene glacial forest elements of Brazilian Amazonia,Lima et al 2018 Palaeo3. Late Pleistocene glacial forest elements of Brazilian Amazonia,,Tropical rainforest (Amazonia),tropical rainforest,pollen,climate,paleoecology,study_case; review,regional,Neotropics,pre-human,42450 BP-present,,,Yes,No,https://doi.org/10.1016/j.palaeo.2017.11.050,,,Oliver Wilson
Colinvaux et al. ,2000,Amazonian and neotropical plant communities on glacial time-scales: The failure of the aridity and refuge hypotheses,Colinvaux et al 2000 QSR. Amazonian and neotropical plant communities on glacial time-scales: The failure of the aridity and refuge hypotheses,,Tropical rainforest (Amazonia),tropical rainforest,pollen,climate,paleoecology,theory; review,"regional, global",Neotropics,pre-human,32060 BP-4000 BP,,,Yes,,https://doi.org/10.1016/S0277-3791(99)00059-1,,,Oliver Wilson
Nogue et al. ,2018,"Exploring the Ecological History of a Tropical Agroforestry Landscape Using Fossil Pollen and Charcoal Analysis from Four Sites in Western Ghats, India","Nogue et al 2018 Ecosystems. Exploring the Ecological History of a Tropical Agroforestry Landscape Using Fossil Pollen and Charcoal Analysis from Four Sites in Western Ghats, India",,Tropical rainforest (India),tropical rainforest,pollen; charcoal,land use,paleoecology,study_case,regional,S Asia,"pre-colonial, colonial, modern",900 BP-present,12,75.75,Yes,Yes,https://doi.org/10.1007/s10021-017-0132-1,,,Oliver Wilson
Souza and Madella,,ExPaND database,ExPaND database - neotropical archaeological radiocarbon dates,,Neotropics,,,,archaeology,review,continental,Neotropics,"pre-colonial, colonial, modern",,,,Not explicitly,Yes,,,https://amazonexpand.wixsite.com/expand,Oliver Wilson
Kaufman et al. ,2020,A global database of Holocene paleotemperature records,Kaufman et al 2020 Sci Dat. A global database of Holocene paleotemperature records,,Global,,multiproxy,climate,paleoecology,review,global,Global,"pre-colonial, colonial, modern",12000 BP-present,,,Yes,Yes,https://doi.org/10.1038/s41597-020-0445-3,https://doi.org/10.25921/4RY2-G808,https://lipdverse.org/globalHolocene/current_version/index.html,Oliver Wilson
Lima et al. ,paper: 2015 database: 2020,How much do we know about the endangered Atlantic Forest? Reviewing nearly 70 years of information on tree community surveys,TreeCo - Neotropical Tree Communities database,,Neotropics,,,,ecology,review,regional,Neotropics,modern,,,,Yes,Yes,http://dx.doi.org/10.1007/s10531-015-0953-1,,http://labtrop.ib.usp.br/doku.php?id=projetos:treeco:start,Oliver Wilson
Oliveira-Filho,2017,"NeoTropTree, Flora arbórea da Região Neotropical: Um banco de dados envolvendo biogeografia, diversidade e conservação.",NeoTropTree database - tree flora of the neotropical region,,Neotropics,,plant survey,biodiversity,ecology,review,continental,Neotropics,modern,1992 CE-2017 CE,,,No,Yes in aggregate,,,http://www.neotroptree.info/outputs,Oliver Wilson
Sanchez Goni et al. ,2017,The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period,Sanchez Goni et al 2017 ESSD. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period,,Global,,pollen; charcoal,climate; fire,paleoecology,review,global,Global,"pre-human, pre-colonial",73000 BP-15000 BP,,,Yes,Yes,https://doi.org/10.5194/essd-9-679-2017,https://doi.org/10.1594/PANGAEA.870867,,Oliver Wilson
Stephens et al.,2019,Archaeological assessment reveals Earth’s early transformation through land use,Stephens et al 2019 Archaeological assessment reveals Earth’s early transformation through land use,,Global,,survey,land use,archaeology,review,global,Global,pre-human,10000 BP-1850 CE,,,Yes,partially,https://science.sciencemag.org/content/365/6456/897.abstract?casa_token=99fY3sWTkeoAAAAA:u-ODxz9DSvYw705FMeNcUeRMEcW9V41lS2KiOM3Ygy8eNtl3zyJF4-v1yYp9vpMOIX-GxP1D2Sb8Og,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6ZXAGT,,Xavier Benito
Cook-Patton et al.,2020,Mapping carbon accumulation potential from global natural forest regrowth,Cook Patton et al. 2020 Mapping carbon accumulation potential from global natural forest regrowth,,Global forests,,model; tree inventory,land use,ecology,theory; review,global,Global,modern,present-2050 CE,,,Yes,Yes,https://doi.org/10.1038/s41586-020-2686-x,,https://www.nature.com/articles/s41586-020-2686-x#data-availability,Johanna Menges
Zhou et al. ,2014,Widespread decline of Congo rainforest greenness in the past decade,Zhou et al. 2014 Widespread decline of Congo rainforest greenness in the past decade,,Tropical rainforest (Congo),tropical rainforest,remote sensing,land use,ecology,study_case,regional,Africa,modern,2000 CE-2012 CE,,,Yes,,,,,Johanna Menges
Laurance et al. ,2013,Agricultural expansion and its impacts on tropical nature,Laurance et al. 2013 Agricultural expansion and its impacts on tropical nature,,Tropical rainforest,tropical rainforest,review,biodiversity,ecology,review,global,Global,modern,present,,,Yes,No,https://doi.org/10.1016/j.tree.2013.12.001,,https://www.sciencedirect.com/science/article/pii/S0169534713002929,Johanna Menges
Bleasdale et al. ,2020,Isotopic and microbotanical insights into Iron Age agricultural reliance in the Central African rainforest,Bleasdale et al. 2020 Isotopic and microbotanical insights into Iron Age agricultural reliance in the Central African rainforest,,Tropical rainforest (Central Africa),tropical rainforest,multiproxy,land use,archaeology,study_case,local,Africa,pre-colonial,2050 BP-130 BP,0,18,Yes,Yes,https://doi.org/10.1038/s42003-020-01324-2,,https://www.nature.com/articles/s42003-020-01324-2#Abs1,Johanna Menges
Bayon et al. ,2012,Intensifying Weathering and Land Use in Iron Age Central Africa,Bayon et al. 2012 Intensifying Weathering and Land Use in Iron Age Central Africa,,Tropical rainforest (Congo),tropical rainforest,multiproxy,land use,archaeology,study_case,regional,Africa,pre-colonial,3500 BP,,,Yes,No,DOI: 10.1126/science.1215400,,https://science.sciencemag.org/content/335/6073/1219,Johanna Menges
Dargie et al. ,2017,"Age, extent and carbon storage of the central Congo Basin peatland complex ","Dargie et al. 2017 Age, extent and carbon storage of the central Congo Basin peatland complex ",,Tropical rainforest (Congo),tropical rainforest,soil samples,climate,ecology,study_case,local,Africa,modern,present,0,18,Yes,Yes,https://doi.org/10.1038/nature21048,,https://www.nature.com/articles/nature21048,Johanna Menges
Gillson & Marchant,2014,From myopia to clarity: sharpening the focus of ecosystem management through the lens of palaeoecology,Gillson & Marchant 2014 TREE. From myopia to clarity: sharpening the focus of ecosystem management through the lens of palaeoecology,,Global,,NA,NA,paleoecology; ecology,review,global,Global,"pre-human, pre-colonial, colonial, modern",,,,Yes,,https://doi.org/10.1016/j.tree.2014.03.010,,,Oliver Wilson
Haberle,2005,"A 23,000-yr pollen record from Lake Euramoo, Wet Tropics of NE Queensland, Australia","Haberle 2005 Quat Res. A 23,000-yr pollen record from Lake Euramoo, Wet Tropics of NE Queensland, Australia",,Tropical rainforest (Australia),tropical rainforest,pollen; charcoal,climate;fire,paleoecology,study_case,local,Australia & Oceania,"pre-human, pre-colonial, colonial, modern",23000 BP-1999 CE,-17.17,145.63,Yes,No,https://doi.org/10.1016/j.yqres.2005.08.013,,,Oliver Wilson
Haberle et al,2006,The impact of European occupation on terrestrial and aquatic ecosystem dynamics in an Australian tropical rain forest,Haberle et al 2006 J Ecol. The impact of European occupation on terrestrial and aquatic ecosystem dynamics in an Australian tropical rain forest,,Tropical rainforest (Australia),tropical rainforest,pollen; charcoal;sedimentary proxies,land use;fire,paleoecology,study_case,local,Australia & Oceania,"pre-colonial, colonial, modern",660 BP-present,-17.17,145.63,Yes,No,https://doi.org/10.1111/j.1365-2745.2006.01140.x,,,Oliver Wilson
Haberle & David,2004,Climates of change: human dimensions of Holocene environmental change in low latitudes of the PEPII transect,Haberle & David 2004 Qua Int. Climates of change: human dimensions of Holocene environmental change in low latitudes of the PEPII transect,,Tropical rainforest (Australia/New Guinea),tropical rainforest,review,climate,paleoecology; archaeology,review,regional,SE Asia; Australia & Oceania,"pre-colonial, colonial, modern",12000 BP-present,,,Yes,No,https://doi.org/10.1016/S1040-6182(03)00136-8,,,Oliver Wilson
Haberle et al,2012,The palaeoenvironments of Kuk Swamp from the beginnings of agriculture in the highlands of Papua New Guinea,Haberle et al 2012 Qua Int. The palaeoenvironments of Kuk Swamp from the beginnings of agriculture in the highlands of Papua New Guinea,,Tropical rainforest (New Guinea),tropical rainforest,pollen; phytolith; charcoal,land use,paleoecology; archaeology,study_case,local,SE Asia,"pre-colonial, colonial, modern",20000 BP-270 BP,-5.78,144.33,Yes,No,https://doi.org/10.1016/j.quaint.2011.07.048,,,Oliver Wilson
Haberle et al,2001,Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record,Haberle et al 2001 Palaeo3. Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record,,Tropical rainforest (Indonesia/New Guinea),tropical rainforest,charcoal,fire,paleoecology,review,regional,SE Asia,"pre-colonial, colonial, modern",20000 BP-present,,,Yes,No,https://doi.org/10.1016/S0031-0182(01)00248-6,,,Oliver Wilson
Hapsari et al,2020,"Intertwined effects of climate and land use change on environmental dynamics and carbon accumulation in a mangrove-fringed coastal lagoon in Java, Indonesia","Hapsari et al 2020 GCB. Intertwined effects of climate and land use change on environmental dynamics and carbon accumulation in a mangrove-fringed coastal lagoon in Java, Indonesia",,Tropical mangrove (Indonesia),mangroves,pollen; sedimentary proxy,climate; land use,paleoecology; ecology,study_case,local,SE Asia,"pre-colonial, colonial, modern",1480 CE-present,-7.67,108.82,Yes,No,https://doi.org/10.1111/gcb.14926,,,Oliver Wilson
Hapsari et al,2017,"Resilience of a peatland in Central Sumatra, Indonesia to past anthropogenic disturbance: Improving conservation and restoration designs using palaeoecology","Hapsari et al 2017 J Ecol. Resilience of a peatland in Central Sumatra, Indonesia to past anthropogenic disturbance: Improving conservation and restoration designs using palaeoecology",,Tropical peatland (Indonesia),peatland,pollen; sedimentary proxy,land use,paleoecology; archaeology,study_case,local,SE Asia,"pre-colonial, colonial, modern",13400 BP-present,-1.24,103.62,Yes,No,https://doi.org/10.1111/1365-2745.13000,,,Oliver Wilson
Hapsari et al,2017,"Environmental dynamics and carbon accumulation rate of a tropical peatland in Central Sumatra, Indonesia","Hapsari et al 2017 QSR. Environmental dynamics and carbon accumulation rate of a tropical peatland in Central Sumatra, Indonesia",,Tropical peatland (Indonesia),peatland,pollen; sedimentary proxy,climate; land use,paleoecology; ecology,study_case,local,SE Asia,"pre-human, pre-colonial, colonial, modern",23000 BP-present,-1.24,103.62,Yes,Yes,https://doi.org/10.1016/j.quascirev.2017.05.026,https://doi.pangaea.de/10.1594/PANGAEA.888596,,Oliver Wilson
Biagioni et al ,2016,"Unravelling the past 1,000 years of history of human–climate– landscape interactions at the Lindu plain, Sulawesi, Indonesia","Biagioni et al 2016 Veg Hist Arch. Unravelling the past 1,000 years of history of human–climate–landscape interactions at the Lindu plain, Sulawesi, Indonesia",,Tropical rainforest (Indonesia),,pollen; sedimentary proxy,land use; climate,paleoecology; archaeology,study_case,local,SE Asia,"pre-colonial, colonial, modern",1000 BP-present,-1.34,120.08,Yes,No,https://doi.org/10.1007/s00334-015-0523-1,,,Oliver Wilson
Biagioni et al ,2015,"8000 years of vegetation dynamics and environmental changes of a unique inland peat ecosystem of the Jambi Province in Central Sumatra, Indonesia","Biagioni et al 2015 Palaeo3. 8000 years of vegetation dynamics and environmental changes of a unique inland peat ecosystem of the Jambi Province in Central Sumatra, Indonesia",,Tropical rainforest (Indonesia),peatland,pollen; sedimentary proxy,,paleoecology,study_case,local,SE Asia,"pre-human, pre-colonial, colonial, modern",8000 BP-present,-2.05,102.7,Yes,No,https://doi.org/10.1016/j.palaeo.2015.09.048,,,Oliver Wilson
Dommain et al,2014,Carbon storage and release in Indonesian peatlands since the last deglaciation,Dommain et al 2014 QSR. Carbon storage and release in Indonesian peatlands since the last deglaciation,,Tropical peatland (Indonesia),peatland,dating; GIS,climate,paleoecology,review,regional,SE Asia,"pre-human, pre-colonial, colonial, modern",20000 BP-present,,,Yes,No,https://doi.org/10.1016/j.quascirev.2014.05.002,,,Oliver Wilson
Hope et al,2005,"The Stratigraphy and Fire History of the Kutai Peatlands, Kalimantan, Indonesia","Hope et al 2005 Quat Res. The Stratigraphy and Fire History of the Kutai Peatlands, Kalimantan, Indonesia",,Tropical peatland (Indonesia),peatland,charcoal,fire,paleoecology; ecology,study_case,local,SE Asia,"pre-human, pre-colonial, colonial, modern",8000 BP-present,-0.2,116.25,Yes,No,https://doi.org/10.1016/j.yqres.2005.08.009,,,Oliver Wilson
Vijay et al,2016,The Impacts of Oil Palm on Recent Deforestation and Biodiversity Loss,Vijay et al 2016 The Impacts of Oil Palm on Recent Deforestation and Biodiversity Loss,,Global,,remote sensing,land use,ecology,study_case,global,Global,modern,2003 CE-2013 CE,,,Yes,No,10.1371/journal.pone.0159668,,,Xavier Benito
Souza et al,2019,Climate change and cultural resilience in late pre-Columbian Amazonia,Souza et al 2019 Climate change and cultural resilience in late pre-Columbian Amazonia,,Neotropics,,archaeology; multiproxy; charcoal,land use,paleoecology,review,regional,Neotropics,"pre-human, pre-colonial",400  BCE-1650 CE,,,Yes,Yes,,,,
Githumbi et al,2020,Using the Past to Inform a Sustainable Future: Palaeoecological Insights from East Africa,Githumbi et al 2020 Africa & SDGs. Using the Past to Inform a Sustainable Future: Palaeoecological Insights from East Africa,,Africa,,review,land use; biodiversity,"paleoecology, archaeology, ecology, social",review,continental,Africa,"pre-colonial, colonial, modern",NA,,,Yes,No,http://dx.doi.org/10.1007/978-3-030-14857-7_18,,https://www.researchgate.net/profile/Esther-Githumbi/publication/333784453_Using_the_Past_to_Inform_a_Sustainable_Future_Palaeoecological_Insights_from_East_Africa/links/5d5e87b592851c376371b8a7/Using-the-Past-to-Inform-a-Sustainable-Future-Palaeoecological-Insights-from-East-Africa.pdf?_sg%5B0%5D=pliPeHOJB0ZDA8EvWulyAaFkDZpJCaz6a3QBqmiqnQmhESfUEtftQucZJ1yFccSVHDyDhLD0QOXM5vlSxpeHtg.CfjaVoWQm5o7SyMZZcKqjkMmhpEorcYIDWi3vczmvM7SF5D03a84T823qz2IYK3MKhBwCqzbPYVFAlzPgly60Q&_sg%5B1%5D=VeKtKXC8AF26DV0ahiG9dIipHFCXK0ng-12aNw6MSGEQlPMy-ReN1cF8Gh6jaXuxoa1zo6e9juJmLlkwRWlBwG2z6ywcYWtssVGeAeCY9Lnp.CfjaVoWQm5o7SyMZZcKqjkMmhpEorcYIDWi3vczmvM7SF5D03a84T823qz2IYK3MKhBwCqzbPYVFAlzPgly60Q&_iepl=,Oliver Wilson
Marchant et al,2018,Drivers and trajectories of land cover change in East Africa: Human and environmental interactions from 6000 years ago to present,Marchant et al 2018 ESR. Drivers and trajectories of land cover change in East Africa: Human and environmental interactions from 6000 years ago to present,,East Africa,,archaeology; multiproxy,land use,paleoecology; archaeology,review,regional,Africa,"pre-colonial, colonial, modern",6000 BP-present,,,Yes,No,https://doi.org/10.1016/j.earscirev.2017.12.010,,,Oliver Wilson
